0,0,[7;23;57]
1,0,[7;23;81]
2,0,[7;22;58]
3,0,[7;22;82]
4,0,[7;57;82]
5,0,[7;58;81]
6,0,[6;24;57]
7,0,[6;24;81]
8,0,[6;22;59]
9,0,[6;22;83]
10,0,[6;57;83]
11,0,[6;59;81]
12,0,[5;23;59]
13,0,[5;23;83]
14,0,[5;24;58]
15,0,[5;24;82]
16,0,[5;59;82]
17,0,[5;58;83]
18,0,[23;57;83]
19,0,[23;59;81]
20,0,[22;58;83]
21,0,[22;59;82]
22,0,[24;57;82]
23,0,[24;58;81]
24,1,[7;23;57]
25,1,[7;23;81]
26,1,[7;22;58]
27,1,[7;22;82]
28,1,[7;57;82]
29,1,[7;58;81]
30,1,[6;24;57]
31,1,[6;24;81]
32,1,[6;22;59]
33,1,[6;22;83]
34,1,[6;57;83]
35,1,[6;59;81]
36,1,[5;23;59]
37,1,[5;23;83]
38,1,[5;24;58]
39,1,[5;24;82]
40,1,[5;59;82]
41,1,[5;58;83]
42,1,[23;57;83]
43,1,[23;59;81]
44,1,[22;58;83]
45,1,[22;59;82]
46,1,[24;57;82]
47,1,[24;58;81]
48,2,[7;23;55]
49,2,[7;23;79]
50,2,[7;22;56]
51,2,[7;22;80]
52,2,[7;55;80]
53,2,[7;56;79]
54,2,[6;24;55]
55,2,[6;24;79]
56,2,[6;22;57]
57,2,[6;22;81]
58,2,[6;55;81]
59,2,[6;57;79]
60,2,[5;23;57]
61,2,[5;23;81]
62,2,[5;24;56]
63,2,[5;24;80]
64,2,[5;57;80]
65,2,[5;56;81]
66,2,[23;55;81]
67,2,[23;57;79]
68,2,[22;56;81]
69,2,[22;57;80]
70,2,[24;55;80]
71,2,[24;56;79]
72,3,[6;17;41]
73,3,[6;17;57]
74,3,[6;16;42]
75,3,[6;16;58]
76,3,[6;41;58]
77,3,[6;42;57]
78,3,[5;18;41]
79,3,[5;18;57]
80,3,[5;16;43]
81,3,[5;16;59]
82,3,[5;41;59]
83,3,[5;43;57]
84,3,[4;17;43]
85,3,[4;17;59]
86,3,[4;18;42]
87,3,[4;18;58]
88,3,[4;43;58]
89,3,[4;42;59]
90,3,[17;41;59]
91,3,[17;43;57]
92,3,[16;42;59]
93,3,[16;43;58]
94,3,[18;41;58]
95,3,[18;42;57]
96,4,[6;17;41]
97,4,[6;17;57]
98,4,[6;16;42]
99,4,[6;16;58]
100,4,[6;41;58]
101,4,[6;42;57]
102,4,[5;18;41]
103,4,[5;18;57]
104,4,[5;16;43]
105,4,[5;16;59]
106,4,[5;41;59]
107,4,[5;43;57]
108,4,[4;17;43]
109,4,[4;17;59]
110,4,[4;18;42]
111,4,[4;18;58]
112,4,[4;43;58]
113,4,[4;42;59]
114,4,[17;41;59]
115,4,[17;43;57]
116,4,[16;42;59]
117,4,[16;43;58]
118,4,[18;41;58]
119,4,[18;42;57]
120,5,[6;17;41]
121,5,[6;17;57]
122,5,[6;16;42]
123,5,[6;16;58]
124,5,[6;41;58]
125,5,[6;42;57]
126,5,[5;18;41]
127,5,[5;18;57]
128,5,[5;16;43]
129,5,[5;16;59]
130,5,[5;41;59]
131,5,[5;43;57]
132,5,[4;17;43]
133,5,[4;17;59]
134,5,[4;18;42]
135,5,[4;18;58]
136,5,[4;43;58]
137,5,[4;42;59]
138,5,[17;41;59]
139,5,[17;43;57]
140,5,[16;42;59]
141,5,[16;43;58]
142,5,[18;41;58]
143,5,[18;42;57]
144,6,[7;17;48]
145,6,[7;17;84]
146,6,[7;16;49]
147,6,[7;16;85]
148,6,[7;48;85]
149,6,[7;49;84]
150,6,[6;18;48]
151,6,[6;18;84]
152,6,[6;16;50]
153,6,[6;16;86]
154,6,[6;48;86]
155,6,[6;50;84]
156,6,[5;17;50]
157,6,[5;17;86]
158,6,[5;18;49]
159,6,[5;18;85]
160,6,[5;50;85]
161,6,[5;49;86]
162,6,[17;48;86]
163,6,[17;50;84]
164,6,[16;49;86]
165,6,[16;50;85]
166,6,[18;48;85]
167,6,[18;49;84]
168,7,[7;17;48]
169,7,[7;17;84]
170,7,[7;16;49]
171,7,[7;16;85]
172,7,[7;48;85]
173,7,[7;49;84]
174,7,[6;18;48]
175,7,[6;18;84]
176,7,[6;16;50]
177,7,[6;16;86]
178,7,[6;48;86]
179,7,[6;50;84]
180,7,[5;17;50]
181,7,[5;17;86]
182,7,[5;18;49]
183,7,[5;18;85]
184,7,[5;50;85]
185,7,[5;49;86]
186,7,[17;48;86]
187,7,[17;50;84]
188,7,[16;49;86]
189,7,[16;50;85]
190,7,[18;48;85]
191,7,[18;49;84]
192,8,[7;15;45]
193,8,[7;15;80]
194,8,[7;14;46]
195,8,[7;14;81]
196,8,[7;45;81]
197,8,[7;46;80]
198,8,[6;16;45]
199,8,[6;16;80]
200,8,[6;14;47]
201,8,[6;14;82]
202,8,[6;45;82]
203,8,[6;47;80]
204,8,[5;15;47]
205,8,[5;15;82]
206,8,[5;16;46]
207,8,[5;16;81]
208,8,[5;47;81]
209,8,[5;46;82]
210,8,[15;45;82]
211,8,[15;47;80]
212,8,[14;46;82]
213,8,[14;47;81]
214,8,[16;45;81]
215,8,[16;46;80]
